user_id,age,occupation,gender
105728,32,other or not specified,M
149755,26,college/grad student,M
288178,26,sales/marketing,M
212781,26,college/grad student,M
284115,34,self-employed,F
41019,34,homemaker,M
144635,26,college/grad student,M
36479,34,scientist,M
15346,31,college/grad student,M
71366,27,college/grad student,M
225021,25,executive/managerial,M
219638,29,sales/marketing,M
292326,31,scientist,F
135547,82,other or not specified,M
133511,25,sales/marketing,F
234185,44,academic/educator,M
181763,28,scientist,M
41888,27,executive/managerial,M
258377,34,executive/managerial,M
226076,28,executive/managerial,M
126640,27,college/grad student,M
134542,34,executive/managerial,M
81648,31,sales/marketing,M
49225,24,sales/marketing,M
242849,33,college/grad student,M
294932,58,retired,F
273086,47,sales/marketing,M
163197,26,college/grad student,M
37807,18,K-12 student,M
2052,26,college/grad student,F
144393,62,retired,F
104537,39,lawyer,F
143854,18,sales/marketing,M
8938,20,sales/marketing,M
51793,27,self-employed,M
187035,28,college/grad student,M
89299,41,artist,M
80989,38,sales/marketing,M
222070,18,sales/marketing,M
225042,27,scientist,M
59126,28,scientist,M
190547,18,technician/engineer,M
134286,34,college/grad student,M
272243,25,sales/marketing,M
94164,40,college/grad student,M
182803,33,retired,M
200873,28,college/grad student,M
28409,33,homemaker,F
235568,39,executive/managerial,M
101568,28,self-employed,M
281118,28,other or not specified,M
99645,69,retired,F
111842,32,self-employed,M
101987,33,college/grad student,F
89873,29,college/grad student,M
129267,25,college/grad student,F
284017,31,executive/managerial,F
244872,25,college/grad student,F
290399,33,executive/managerial,M
295522,32,other or not specified,M
103005,31,college/grad student,M
245462,28,sales/marketing,M
235045,28,scientist,M
82928,27,college/grad student,M
272236,26,clerical/admin,M
231866,26,executive/managerial,M
23972,56,other or not specified,F
301032,25,scientist,M
238752,31,executive/managerial,M
96038,32,college/grad student,F
248180,25,college/grad student,M
60414,25,executive/managerial,M
265027,32,college/grad student,M
269552,25,scientist,M
164357,33,executive/managerial,M
189683,32,executive/managerial,M
235803,27,sales/marketing,M
208342,38,sales/marketing,M
98533,27,academic/educator,F
245984,41,self-employed,F
12310,20,college/grad student,M
191034,30,other or not specified,M
299714,25,other or not specified,M
59804,34,executive/managerial,M
16431,27,academic/educator,F
83872,31,college/grad student,M
125389,25,homemaker,M
188683,21,college/grad student,M
6814,31,sales/marketing,M
144261,30,sales/marketing,M
29231,33,executive/managerial,M
9489,30,sales/marketing,M
112004,33,college/grad student,M
163603,34,programmer,M
292341,29,sales/marketing,M
26992,30,executive/managerial,M
270085,27,sales/marketing,M
54775,28,executive/managerial,M
86708,33,other or not specified,M
62021,25,self-employed,F
274970,28,self-employed,M
222987,18,K-12 student,M
226752,33,college/grad student,M
66758,18,programmer,M
170184,22,sales/marketing,M
7595,34,college/grad student,M
271177,32,tradesman/craftsman,M
79128,33,college/grad student,F
59713,27,college/grad student,M
233652,27,farmer,F
25884,14,sales/marketing,M
249817,28,technician/engineer,M
27913,30,sales/marketing,M
73226,31,executive/managerial,M
181701,26,college/grad student,F
101263,34,college/grad student,M
94521,27,college/grad student,M
16927,27,college/grad student,M
287646,30,technician/engineer,M
291271,28,college/grad student,M
35572,27,executive/managerial,M
251913,26,college/grad student,M
66873,27,scientist,M
81581,19,sales/marketing,F
103457,33,scientist,M
196216,32,scientist,M
280316,30,college/grad student,M
78770,34,sales/marketing,M
183144,31,self-employed,F
65011,18,college/grad student,F
194158,41,academic/educator,M
295982,33,artist,M
64040,30,college/grad student,M
65851,27,college/grad student,F
255724,28,college/grad student,M
146305,32,college/grad student,M
71394,31,scientist,F
147473,29,homemaker,M
2684,32,artist,M
169846,32,self-employed,M
69595,26,self-employed,F
74211,34,other or not specified,F
109160,38,scientist,M
133805,28,other or not specified,M
294647,25,executive/managerial,M
16714,25,sales/marketing,M
59603,34,sales/marketing,M
273302,31,sales/marketing,M
122767,33,executive/managerial,M
241022,26,scientist,M
55434,25,scientist,M
167346,30,academic/educator,M
110541,30,college/grad student,M
9378,24,sales/marketing,M
237583,30,homemaker,M
95486,25,executive/managerial,M
115586,29,scientist,M
81017,40,executive/managerial,M
158647,39,sales/marketing,M
74323,43,executive/managerial,M
81565,38,artist,F
233921,30,executive/managerial,M
251770,34,clerical/admin,M
74950,33,college/grad student,M
28874,31,homemaker,F
97805,28,executive/managerial,M
12751,29,college/grad student,M
26673,26,sales/marketing,M
207056,31,clerical/admin,M
17167,27,executive/managerial,M
229956,25,artist,F
108408,33,scientist,M
148397,32,technician/engineer,M
170477,31,scientist,M
8696,29,college/grad student,M
57870,19,sales/marketing,M
139812,31,other or not specified,F
7515,29,academic/educator,M
273938,18,K-12 student,F
153497,30,college/grad student,M
28619,20,sales/marketing,M
44649,26,scientist,M
126261,25,college/grad student,F
190204,31,scientist,M
22072,28,sales/marketing,M
18724,74,executive/managerial,M
249665,26,college/grad student,M
24544,28,college/grad student,M
250236,31,executive/managerial,M
137127,30,college/grad student,M
153618,25,executive/managerial,M
244697,34,executive/managerial,M
287013,29,homemaker,M
9256,30,college/grad student,M
146761,30,scientist,M
19577,27,college/grad student,F
126805,26,executive/managerial,M
137884,31,college/grad student,M
77983,28,college/grad student,M
215792,40,self-employed,M
98555,40,executive/managerial,M
258847,33,executive/managerial,M
119264,33,K-12 student,M
229309,28,scientist,M
289631,26,technician/engineer,M
110485,29,other or not specified,M
187217,30,college/grad student,M
176775,26,college/grad student,F
193993,25,unemployed,M
49998,27,executive/managerial,M
216804,17,sales/marketing,M
250546,27,sales/marketing,M
285929,32,other or not specified,M
109076,34,scientist,M
69374,28,college/grad student,M
221654,13,K-12 student,M
233992,32,homemaker,M
20383,18,K-12 student,M
137713,26,scientist,M
266086,31,executive/managerial,M
135977,26,self-employed,F
18811,28,college/grad student,M
142262,32,executive/managerial,M
122154,27,sales/marketing,M
144193,25,sales/marketing,M
297260,21,K-12 student,M
273597,25,other or not specified,M
81841,27,self-employed,F
240091,13,homemaker,M
16134,27,scientist,M
14019,31,executive/managerial,M
253871,31,self-employed,M
21707,79,retired,M
185085,33,college/grad student,F
197590,34,academic/educator,F
128955,71,executive/managerial,F
289310,29,sales/marketing,M
210193,31,college/grad student,M
153426,29,college/grad student,F
47174,29,homemaker,F
83326,26,other or not specified,M
26157,28,executive/managerial,M
266350,31,self-employed,M
26139,28,sales/marketing,F
49395,31,programmer,M
34708,33,college/grad student,F
51540,32,executive/managerial,M
152801,25,college/grad student,M
192046,27,scientist,M
238208,29,sales/marketing,F
120538,27,executive/managerial,M
191680,26,college/grad student,M
281225,27,scientist,M
126644,56,self-employed,F
141450,32,executive/managerial,M
233039,26,scientist,M
25347,34,other or not specified,M
201004,31,college/grad student,M
182114,29,sales/marketing,M
205821,32,technician/engineer,M
114315,27,college/grad student,M
112373,13,K-12 student,F
157885,31,self-employed,F
23008,18,K-12 student,M
227070,14,K-12 student,F
78723,18,sales/marketing,M
39823,33,K-12 student,M
121110,27,executive/managerial,M
269870,33,college/grad student,M
269638,33,executive/managerial,M
118838,29,scientist,M
50796,20,sales/marketing,M
15160,33,scientist,M
103413,29,K-12 student,F
124942,25,academic/educator,F
72070,34,homemaker,F
143900,32,programmer,M
286618,31,college/grad student,M
127185,40,homemaker,F
225963,30,executive/managerial,M
62735,29,college/grad student,M
170932,29,technician/engineer,M
60923,44,sales/marketing,M
201101,34,executive/managerial,F
217608,28,executive/managerial,F
31375,33,sales/marketing,M
282336,25,sales/marketing,M
219434,32,self-employed,M
142864,31,programmer,M
143292,26,sales/marketing,M
232024,33,college/grad student,F
202101,31,college/grad student,M
26646,34,self-employed,M
260500,31,scientist,M
3492,34,scientist,M
65268,27,self-employed,F
199157,27,college/grad student,M
202961,32,college/grad student,M
281663,34,college/grad student,M
104393,28,scientist,M
291725,33,executive/managerial,F
157238,31,self-employed,M
282964,30,sales/marketing,M
104130,26,other or not specified,M
249630,31,executive/managerial,M
235932,26,executive/managerial,M
6493,9,K-12 student,M
148670,31,college/grad student,F
178857,31,college/grad student,M
269175,26,executive/managerial,M
262484,30,college/grad student,M
241095,18,K-12 student,M
197136,28,college/grad student,M
279758,33,executive/managerial,M
205980,33,self-employed,F
195357,33,executive/managerial,M
185350,40,retired,F
40489,30,sales/marketing,M
50330,28,executive/managerial,M
180997,12,K-12 student,F
221479,25,executive/managerial,M
106883,32,self-employed,M
268995,26,scientist,M
214236,36,college/grad student,M
44425,29,college/grad student,M
96622,34,scientist,M
196445,33,executive/managerial,M
216602,31,academic/educator,M
271142,25,college/grad student,M
197819,29,self-employed,M
138398,32,executive/managerial,M
52286,25,other or not specified,F
69245,30,scientist,M
140748,25,self-employed,M
256598,25,executive/managerial,F
290305,11,K-12 student,F
122783,33,other or not specified,M
138043,29,sales/marketing,M
166805,32,homemaker,M
160665,30,artist,F
94701,27,homemaker,M
241532,32,self-employed,M
30724,33,artist,M
180356,18,artist,F
211310,29,self-employed,M
156289,28,other or not specified,F
20545,32,scientist,M
132503,30,college/grad student,M
262469,30,college/grad student,M
251259,29,executive/managerial,M
63272,31,scientist,M
142485,22,scientist,M
85676,27,self-employed,M
129951,34,executive/managerial,F
287371,32,executive/managerial,M
235886,21,college/grad student,M
128611,25,self-employed,M
238359,34,college/grad student,M
207500,26,college/grad student,M
41940,32,executive/managerial,M
87790,33,self-employed,M
108712,26,self-employed,M
102105,32,self-employed,M
67618,33,sales/marketing,M
84216,31,self-employed,M
173452,28,self-employed,M
129947,30,executive/managerial,M
130833,34,executive/managerial,F
258337,30,artist,M
86291,32,executive/managerial,M
66974,25,college/grad student,M
40108,33,college/grad student,M
140692,33,executive/managerial,M
164154,30,clerical/admin,M
203252,28,executive/managerial,M
294838,21,K-12 student,M
100927,27,sales/marketing,M
162178,33,college/grad student,F
88999,25,scientist,M
271239,34,sales/marketing,M
39843,31,college/grad student,M
65170,33,sales/marketing,M
148870,27,executive/managerial,M
300198,25,college/grad student,M
4601,34,other or not specified,F
195993,26,sales/marketing,M
217511,25,college/grad student,M
154966,27,college/grad student,M
47854,33,college/grad student,F
54677,25,executive/managerial,M
296075,28,college/grad student,M
183622,50,academic/educator,M
280509,30,college/grad student,M
213620,29,college/grad student,M
73055,21,sales/marketing,M
241742,30,college/grad student,M
48880,26,college/grad student,M
119964,25,academic/educator,M
159165,34,programmer,M
236785,25,college/grad student,M
1439,25,academic/educator,M
113272,27,executive/managerial,M
110073,26,retired,F
266479,20,self-employed,M
221562,29,executive/managerial,M
159611,25,college/grad student,M
220865,33,executive/managerial,M
222881,28,other or not specified,M
114042,34,sales/marketing,M
301459,25,executive/managerial,M
66836,52,sales/marketing,M
198596,32,college/grad student,M
35213,26,college/grad student,M
31520,25,college/grad student,F
41455,29,executive/managerial,M
28747,34,other or not specified,F
132943,28,college/grad student,M
202086,35,executive/managerial,M
25345,36,sales/marketing,M
49043,32,executive/managerial,M
135938,32,other or not specified,M
291164,43,sales/marketing,M
73977,32,other or not specified,M
244104,24,sales/marketing,M
199737,27,college/grad student,F
248361,27,self-employed,M
36651,34,executive/managerial,M
273064,33,scientist,M
8822,34,self-employed,M
160521,28,other or not specified,M
294757,28,college/grad student,M
293925,34,scientist,M
234044,31,sales/marketing,F
148586,31,executive/managerial,F
3963,26,scientist,M
225764,28,sales/marketing,M
73009,27,scientist,M
111844,34,sales/marketing,M
235444,71,executive/managerial,F
40764,34,scientist,M
285710,18,K-12 student,M
117088,29,other or not specified,M
154372,32,college/grad student,M
64800,20,college/grad student,M
60365,25,other or not specified,M
126372,25,retired,F
123941,33,college/grad student,M
173656,34,college/grad student,M
88,26,scientist,M
112572,30,sales/marketing,M
187885,43,self-employed,M
274887,25,college/grad student,M
155048,29,college/grad student,F
176738,43,sales/marketing,M
37159,27,college/grad student,M
126331,34,college/grad student,M
254255,27,other or not specified,M
207712,29,college/grad student,M
36442,29,scientist,M
163626,43,scientist,M
228129,25,scientist,M
287189,27,scientist,M
72200,25,sales/marketing,M
90783,9,K-12 student,M
102408,30,college/grad student,F
149862,76,academic/educator,F
169839,28,sales/marketing,M
19042,22,sales/marketing,M
138628,34,college/grad student,M
99165,29,clerical/admin,M
169616,35,other or not specified,F
173884,33,homemaker,F
16923,32,college/grad student,M
73646,28,self-employed,M
274560,25,college/grad student,M
74639,28,sales/marketing,M
3214,28,scientist,M
264843,26,self-employed,M
101463,26,college/grad student,M
266999,30,college/grad student,M
297417,26,sales/marketing,M
66322,30,sales/marketing,F
233149,32,executive/managerial,F
101116,25,executive/managerial,M
88933,27,college/grad student,M
15946,32,college/grad student,M
115923,32,scientist,M
80879,34,artist,M
93588,25,self-employed,F
158439,26,sales/marketing,M
246771,31,executive/managerial,M
172192,30,executive/managerial,M
40050,32,executive/managerial,M
91644,28,self-employed,M
58433,26,sales/marketing,M
125751,30,technician/engineer,M
190198,31,college/grad student,M
61142,23,sales/marketing,M
294908,54,artist,F
143079,40,writer,M
177272,45,self-employed,F
204310,31,executive/managerial,F
292760,33,college/grad student,M
76313,34,college/grad student,M
27930,43,other or not specified,F
159968,30,retired,F
130278,26,college/grad student,M
63724,32,executive/managerial,M
56085,22,artist,M
245106,32,sales/marketing,M
19064,31,tradesman/craftsman,M
288313,27,homemaker,M
202517,32,scientist,M
177113,34,self-employed,M
152756,26,executive/managerial,M
141390,25,technician/engineer,M
144837,32,sales/marketing,F
